area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_num,price_inr,price_per_sqft,is_ready
Plot  Area,Ready To Move,Gandhi Nagar,5 Bedroom,,1050,4.0,1.0,80.0,5,1050.0,8000000.0,7619.047619047619,1
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Mileeou,1250,2.0,1.0,77.88,3,1250.0,7788000.0,6230.4,1
Super built-up  Area,18-May,8th Block Jayanagar,2 BHK,,1100,2.0,2.0,110.0,2,1100.0,11000000.0,10000.0,0
Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2.0,1.0,46.13,2,1200.0,4613000.0,3844.1666666666665,0
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,,1420,2.0,2.0,46.0,3,1420.0,4600000.0,3239.43661971831,1
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.0,3,1500.0,7800000.0,5200.0,0
Built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,1942,3.0,1.0,155.0,3,1942.0,15500000.0,7981.462409886714,1
Super built-up  Area,18-Dec,Haralur Road,3 BHK,NDiteio,1985,3.0,2.0,130.0,3,1985.0,13000000.0,6549.11838790932,0
Super built-up  Area,18-Apr,Sarjapur  Road,1 BHK,Kiare S,950,1.0,0.0,39.9,1,950.0,3990000.0,4200.0,0
Plot  Area,Ready To Move,AMS Layout,3 Bedroom,,1200,4.0,2.0,80.0,3,1200.0,8000000.0,6666.666666666667,1
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1752,3.0,2.0,105.0,3,1752.0,10500000.0,5993.1506849315065,1
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,3.0,2.0,120.0,4,1200.0,12000000.0,10000.0,1
Plot  Area,Ready To Move,Mahalakshmi Layout,5 Bedroom,,1200,5.0,1.0,200.0,5,1200.0,20000000.0,16666.666666666668,1
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480,2.0,2.0,84.0,3,1480.0,8400000.0,5675.675675675676,1
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,600,4.0,1.0,81.0,3,600.0,8100000.0,13500.0,1
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1826,3.0,2.0,130.0,3,1826.0,13000000.0,7119.386637458927,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1035,2.0,1.0,39.33,2,1035.0,3933000.0,3800.0,1
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Saacesa,2600,4.0,2.0,98.0,4,2600.0,9800000.0,3769.230769230769,1
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1667,3.0,2.0,92.0,3,1667.0,9200000.0,5518.896220755849,1
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,934,2.0,2.0,55.0,2,934.0,5500000.0,5888.650963597431,1
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,84.53Sq. Meter,3.0,1.0,69.34,3,909.872467,6934000.0,7620.848252351831,1
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1620,2.0,1.0,76.0,3,1620.0,7600000.0,4691.358024691358,1
Super built-up  Area,17-Jun,Electronic City,2 BHK,GMown E,1070,2.0,1.0,47.0,2,1070.0,4700000.0,4392.523364485981,0
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,,3600,5.0,3.0,180.0,5,3600.0,18000000.0,5000.0,1
Super built-up  Area,18-Apr,Uttarahalli,3 BHK,,1280,2.0,2.0,60.0,3,1280.0,6000000.0,4687.5,0
Super built-up  Area,Ready To Move,rr nagar,2 BHK,,1400,2.0,2.0,60.0,2,1400.0,6000000.0,4285.714285714285,1
Built-up  Area,Ready To Move,"Varthur Road,",2 BHK,,1330,2.0,1.0,64.0,2,1330.0,6400000.0,4812.0300751879695,1
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2.0,1.0,54.59,2,1012.0,5459000.0,5394.268774703557,0
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1611,2.0,2.0,48.33,3,1611.0,4833000.0,3000.0,0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gamesti,1405,3.0,2.0,58.0,3,1405.0,5800000.0,4128.113879003558,1
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,Vaurtar,1515,3.0,3.0,90.0,3,1515.0,9000000.0,5940.59405940594,1
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4.0,2.0,150.0,3,1830.0,15000000.0,8196.72131147541,1
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Omncy R,1710,3.0,0.0,60.0,3,1710.0,6000000.0,3508.7719298245615,1
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Varala ,935,2.0,1.0,51.5,2,935.0,5150000.0,5508.0213903743315,1
Super built-up  Area,18-Apr,Jakkur,3 BHK,,2197,3.0,2.0,136.0,3,2197.0,13600000.0,6190.259444697314,0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1678,3.0,2.0,92.13,3,1678.0,9213000.0,5490.464839094159,1
Built-up  Area,Ready To Move,Brookefield,3 BHK,Roeekbl,1410,2.0,0.0,80.0,3,1410.0,8000000.0,5673.758865248227,1
Super built-up  Area,Ready To Move,Jakkur,2 BHK,AvensGa,1125,2.0,2.0,65.0,2,1125.0,6500000.0,5777.777777777777,1
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Vrenty ,1191,2.0,1.0,55.38,3,1191.0,5538000.0,4649.8740554156175,1
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2.0,2.0,79.0,2,1200.0,7900000.0,6583.333333333333,1
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Keera R,1525,2.0,3.0,67.0,3,1525.0,6700000.0,4393.44262295082,1
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,3.0,56.0,3,1464.0,5600000.0,3825.136612021858,1
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,920,2.0,1.0,27.0,2,920.0,2700000.0,2934.782608695652,0
Built-up  Area,Ready To Move,Yelahanka,1 BHK,,651,1.0,1.0,17.5,1,651.0,1750000.0,2688.1720430107525,1
Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Javasya,600,1.0,2.0,25.0,2,600.0,2500000.0,4166.666666666667,1
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,1,645.0,1645000.0,2550.3875968992247,0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,44.0,2,1185.0,4400000.0,3713.0801687763715,1
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1190,2.0,1.0,68.0,2,1190.0,6800000.0,5714.285714285715,0
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5.0,0.0,158.5,4,2856.0,15850000.0,5549.7198879551825,0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2.0,3.0,73.0,2,1355.0,7300000.0,5387.453874538745,1
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1200,1.0,0.0,65.0,2,1200.0,6500000.0,5416.666666666667,1
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,,7000,4.0,3.0,550.0,4,7000.0,55000000.0,7857.142857142857,1
Plot  Area,Ready To Move,Ramamurthy Nagar,6 Bedroom,,1200,4.0,1.0,110.0,6,1200.0,11000000.0,9166.666666666666,1
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,2.0,1.0,24.0,1,500.0,2400000.0,4800.0,1
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3 BHK,Stkarrd,1250,3.0,3.0,50.0,3,1250.0,5000000.0,4000.0,1
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1480,2.0,1.0,58.0,3,1480.0,5800000.0,3918.9189189189187,1
Built-up  Area,Ready To Move,Ambalipura,4 BHK,Toeadp ,3300,4.0,2.0,329.0,4,3300.0,32900000.0,9969.69696969697,1
Super built-up  Area,18-May,KR Puram,3 BHK,TGasyhu,1482 - 1684,3.0,2.0,70.445,3,1583.0,7044499.999999999,4450.0947567909025,0
Super built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1206,2.0,1.0,53.0,2,1206.0,5300000.0,4394.69320066335,1
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,130.0,2,1357.0,13000000.0,9579.955784819454,0
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,,925,2.0,1.0,46.5,2,925.0,4650000.0,5027.027027027027,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,909,2.0,1.0,40.9,2,909.0,4090000.0,4499.4499449945,1
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,5.0,2.0,335.0,3,3000.0,33500000.0,11166.666666666666,1
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,55.0,2,1100.0,5500000.0,5000.0,1
Plot  Area,18-May,Malleshwaram,4 Bedroom,,3000,5.0,2.0,815.0,4,3000.0,81500000.0,27166.666666666668,0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1100,2.0,1.0,54.0,2,1100.0,5400000.0,4909.090909090909,1
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2.0,1.0,65.0,2,975.0,6500000.0,6666.666666666667,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2.0,2.0,44.17,2,1306.0,4417000.0,3382.08269525268,1
Plot  Area,Ready To Move,Roopena Agrahara,4 Bedroom,,1200,4.0,1.0,95.0,4,1200.0,9500000.0,7916.666666666667,1
Super built-up  Area,Ready To Move,Kalena Agrahara,1 BHK,MBpleca,610,1.0,1.0,39.0,1,610.0,3900000.0,6393.44262295082,1
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1484,2.0,2.0,56.4,3,1484.0,5640000.0,3800.5390835579515,1
Super built-up  Area,17-May,Ramamurthy Nagar,2 BHK,Vedhias,1125,2.0,1.0,47.0,2,1125.0,4700000.0,4177.777777777777,0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97,2,1447.0,7597000.0,5250.172771250864,0
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2882,5.0,1.0,158.0,4,2882.0,15800000.0,5482.303955586398,0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,,2075,3.0,1.0,115.0,3,2075.0,11500000.0,5542.168674698795,1
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,2 BHK,Pantsce,1250,2.0,1.0,58.0,2,1250.0,5800000.0,4640.0,1
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2.0,2.0,51.5,2,1272.0,5150000.0,4048.7421383647797,1
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1050,3.0,2.0,125.0,4,1050.0,12500000.0,11904.761904761905,1
Super built-up  Area,18-Aug,Venkateshpuram,2 BHK,,625,2.0,1.0,24.0,2,625.0,2400000.0,3840.0,0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,840,2.0,2.0,50.0,1,840.0,5000000.0,5952.380952380952,1
Super built-up  Area,Ready To Move,Hennur Road,4 BHK,Samittv,2502,4.0,2.0,180.0,4,2502.0,18000000.0,7194.244604316546,1
Super built-up  Area,Ready To Move,Rayasandra,1 BHK,MJeusyl,583,1.0,1.0,26.9,1,583.0,2690000.0,4614.065180102916,1
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,900,2.0,1.0,27.0,2,900.0,2700000.0,3000.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0,2,1115.0,5000000.0,4484.304932735426,1
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,,1464,2.0,2.0,56.0,2,1464.0,5600000.0,3825.136612021858,1
Built-up  Area,18-Mar,Kanakapura,3 Bedroom,,2200,3.0,1.0,121.0,3,2200.0,12100000.0,5500.0,0
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,750,1.0,1.0,51.0,1,750.0,5100000.0,6800.0,0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Afncyad,1600,3.0,3.0,58.0,3,1600.0,5800000.0,3625.0,1
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,SLarei ,1365,2.0,2.0,49.0,3,1365.0,4900000.0,3589.74358974359,1
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road,",3 BHK,,1300,3.0,2.0,64.0,3,1300.0,6400000.0,4923.076923076923,0
Built-up  Area,Ready To Move,Kurubarahalli,1 Bedroom,,1200,1.0,0.0,69.0,1,1200.0,6900000.0,5750.0,1
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARaveSa,1260,2.0,2.0,35.0,2,1260.0,3500000.0,2777.777777777778,1
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Sarlsm ,1190,2.0,2.0,33.92,2,1190.0,3392000.0,2850.4201680672268,1
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,4.0,1.0,260.0,3,2480.0,26000000.0,10483.870967741936,1
Super built-up  Area,18-May,Vishwapriya Layout,3 BHK,,1250,3.0,2.0,38.0,3,1250.0,3800000.0,3040.0,0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1500,3.0,0.0,75.0,3,1500.0,7500000.0,5000.0,1
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Naiewre,1510,3.0,3.0,47.57,3,1510.0,4757000.0,3150.3311258278145,1
Super built-up  Area,19-Jan,7th Phase JP Nagar,2 BHK,,1187,2.0,1.0,59.0,2,1187.0,5900000.0,4970.513900589722,0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1120,2.0,1.0,53.76,2,1120.0,5376000.0,4800.0,1
Super built-up  Area,20-Dec,Whitefield,2 BHK,Somns T,981 - 1249,2.0,0.0,34.555,2,1115.0,3455500.0,3099.103139013453,0
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1717,3.0,3.0,99.0,3,1717.0,9900000.0,5765.87070471753,1
Built-up  Area,Ready To Move,Mullur,3 BHK,Arora A,2099,3.0,2.0,95.0,3,2099.0,9500000.0,4525.964745116722,1
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,,1100,2.0,2.0,58.0,2,1100.0,5800000.0,5272.727272727273,1
Plot  Area,Ready To Move,Hegganahalli,1 Bedroom,,1200,1.0,0.0,48.0,1,1200.0,4800000.0,4000.0,1
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,AMaveon,1465,2.0,1.0,45.87,3,1465.0,4587000.0,3131.0580204778157,1
Plot  Area,Ready To Move,Kothanur,1 Bedroom,,1500,1.0,0.0,75.0,1,1500.0,7500000.0,5000.0,1
Plot  Area,Ready To Move,Prashanth Nagar,5 Bedroom,,4050,4.0,1.0,600.0,5,4050.0,60000000.0,14814.814814814816,1
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,2.0,1.0,90.0,3,1255.0,9000000.0,7171.314741035857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1220,2.0,3.0,88.0,2,1220.0,8800000.0,7213.11475409836,1
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1065,2.0,1.0,30.88,2,1065.0,3088000.0,2899.5305164319248,0
Built-up  Area,Ready To Move,Sultan Palaya,3 BHK,,1765,3.0,3.0,80.0,3,1765.0,8000000.0,4532.57790368272,1
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1281,2.0,2.0,87.0,2,1281.0,8700000.0,6791.569086651054,1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1210,2.0,2.0,25.0,2,1210.0,2500000.0,2066.115702479339,1
Carpet  Area,Ready To Move,Kaggadasapura,2 BHK,AnaveEn,1215,2.0,3.0,43.0,2,1215.0,4300000.0,3539.0946502057614,1
Plot  Area,Ready To Move,Ananth Nagar,4 Bedroom,,1200,3.0,1.0,87.0,4,1200.0,8700000.0,7250.0,1
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,SaodySa,1237,2.0,2.0,73.0,2,1237.0,7300000.0,5901.3742926434925,1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Oaeze B,1300,2.0,1.0,70.0,2,1300.0,7000000.0,5384.615384615385,1
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1105,2.0,2.0,39.99,2,1105.0,3999000.0,3619.004524886878,1
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1505,2.0,2.0,42.0,3,1505.0,4200000.0,2790.6976744186045,1
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3900,5.0,2.0,310.0,4,3900.0,31000000.0,7948.717948717948,1
Built-up  Area,Ready To Move,Banashankari,2 BHK,Sksia A,1186,2.0,3.0,65.0,2,1186.0,6500000.0,5480.607082630691,1
Plot  Area,Ready To Move,Byrathi Village,4 Bedroom,,900,3.0,1.0,51.0,4,900.0,5100000.0,5666.666666666667,1
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,35.5,2,750.0,3550000.0,4733.333333333333,1
Built-up  Area,Ready To Move,Varthur,2 BHK,SLncyaj,1083,2.0,2.0,28.0,2,1083.0,2800000.0,2585.410895660203,1
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,,1430,2.0,1.0,78.65,3,1430.0,7865000.000000001,5500.000000000001,1
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,68.0,2,1056.0,6800000.0,6439.393939393939,1
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,AbnceEs,2108,3.0,3.0,85.0,3,2108.0,8500000.0,4032.2580645161293,1
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1650,3.0,2.0,101.0,3,1650.0,10100000.0,6121.212121212121,1
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,36.6,3,1220.0,3660000.0,3000.0,0
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,MJeusyl,1198,2.0,1.0,54.0,2,1198.0,5400000.0,4507.512520868114,1
Super built-up  Area,Ready To Move,Ejipura,2 BHK,Prsichi,1190,2.0,1.0,70.0,2,1190.0,7000000.0,5882.35294117647,1
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road,",2 BHK,,900,2.0,1.0,41.0,2,900.0,4100000.0,4555.555555555556,0
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,,2690,4.0,2.0,185.0,4,2690.0,18500000.0,6877.323420074349,0
Built-up  Area,Ready To Move,Kanakapura,2 BHK,,1340,2.0,2.0,65.0,2,1340.0,6500000.0,4850.746268656716,1
Plot  Area,Ready To Move,Giri Nagar,6 Bedroom,,2400,6.0,1.0,400.0,6,2400.0,40000000.0,16666.666666666668,1
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1260,2.0,2.0,59.2,2,1260.0,5920000.0,4698.412698412699,0
Super built-up  Area,21-Feb,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,153.0,3,2254.0,15300000.0,6787.93256433008,0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5.0,1.0,210.0,3,2990.0,21000000.0,7023.411371237458,1
Built-up  Area,Ready To Move,1st Block BEL Layout,4 Bedroom,,1800,5.0,1.0,250.0,4,1800.0,25000000.0,13888.888888888889,1
Built-up  Area,Ready To Move,JP Nagar,2 BHK,Adaveth,820,2.0,1.0,45.0,2,820.0,4500000.0,5487.804878048781,1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Naireru,1296,2.0,2.0,65.0,2,1296.0,6500000.0,5015.432098765432,1
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1190,2.0,1.0,53.55,2,1190.0,5355000.0,4500.0,1
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,77.0,2,1173.0,7700000.0,6564.364876385337,0
Plot  Area,16-Dec,Sarjapura - Attibele Road,3 Bedroom,,1800,3.0,2.0,90.0,3,1800.0,9000000.0,5000.0,0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1102,2.0,0.0,52.0,2,1102.0,5200000.0,4718.693284936479,1
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2.0,1.0,36.0,2,913.0,3600000.0,3943.0449069003284,1
Super built-up  Area,18-Apr,Hormavu,3 BHK,,1176,2.0,1.0,35.27,3,1176.0,3527000.0000000005,2999.149659863946,0
Built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Srllaan,1620,3.0,2.0,65.0,3,1620.0,6500000.0,4012.3456790123455,1
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,PuhtsHe,2968,3.0,2.0,225.0,3,2968.0,22500000.0,7580.8625336927225,1
Super built-up  Area,17-Dec,Yelahanka,2 BHK,Hotat H,1519,2.0,3.0,65.0,2,1519.0,6500000.0,4279.131007241606,0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Saageat,1345,2.0,2.0,106.0,2,1345.0,10600000.0,7881.0408921933085,1
Super built-up  Area,19-Dec,Dodsworth Layout,3 BHK,Prard B,1594,3.0,2.0,99.0,3,1594.0,9900000.0,6210.790464240903,0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,SLarkic,1250,2.0,1.0,68.0,2,1250.0,6800000.0,5440.0,1
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,60.0,2,1056.0,6000000.0,5681.818181818182,1
Plot  Area,18-Dec,Whitefield,3 Bedroom,,1200,3.0,1.0,68.4,3,1200.0,6840000.000000001,5700.000000000001,0
Plot  Area,Ready To Move,Kothnur Narayanapura,2 Bedroom,,1290,1.0,0.0,77.5,2,1290.0,7750000.0,6007.751937984496,1
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,,1150,2.0,1.0,48.0,2,1150.0,4800000.0,4173.913043478261,1
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1464,2.0,1.0,145.0,2,1464.0,14500000.0,9904.371584699453,1
Plot  Area,Ready To Move,Anekal,4 Bedroom,,1200,2.0,1.0,36.0,4,1200.0,3600000.0,3000.0,1
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,0.0,36.5,2,861.0,3650000.0,4239.256678281068,1
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,82.62,2,1047.0,8262000.0,7891.117478510028,1
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1200,2.0,0.0,75.0,2,1200.0,7500000.0,6250.0,1
Built-up  Area,Ready To Move,Hongasandra,2 BHK,,1065,2.0,1.0,45.0,2,1065.0,4500000.0,4225.352112676056,1
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2300,3.0,3.0,369.0,3,2300.0,36900000.0,16043.478260869566,1
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,JSonyar,1000,2.0,1.0,62.0,2,1000.0,6200000.0,6200.0,1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3.0,1.0,113.0,3,1682.0,11300000.0,6718.192627824019,1
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1756,3.0,2.0,131.0,3,1756.0,13100000.0,7460.136674259681,1
Plot  Area,Ready To Move,BEL Road,5 Bedroom,,4000,4.0,2.0,1000.0,5,4000.0,100000000.0,25000.0,1
Super built-up  Area,Ready To Move,Vignana Nagar,4 BHK,,1050,4.0,2.0,90.0,4,1050.0,9000000.0,8571.42857142857,1
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1238,2.0,1.0,67.32,2,1238.0,6731999.999999999,5437.802907915992,1
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,814,2.0,1.0,42.0,2,814.0,4200000.0,5159.7051597051595,1
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,GSodsee,1145,2.0,1.0,46.5,2,1145.0,4650000.0,4061.1353711790393,1
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maita R,965,2.0,1.0,34.0,2,965.0,3400000.0,3523.316062176166,1
Super built-up  Area,Ready To Move,Doddabele,2 BHK,,750,2.0,1.0,36.0,2,750.0,3600000.0,4800.0,1
Built-up  Area,Ready To Move,Banashankari,3 BHK,V2anags,1300,2.0,2.0,55.0,3,1300.0,5500000.0,4230.7692307692305,1
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,1590,3.0,3.0,131.0,3,1590.0,13100000.0,8238.993710691824,0
Super built-up  Area,20-Aug,Begur Road,1 BHK,Pruthg ,644,1.0,1.0,40.0,1,644.0,4000000.0,6211.180124223602,0
Super built-up  Area,18-Mar,Whitefield,2 BHK,Pranthi,982,2.0,1.0,37.0,2,982.0,3700000.0,3767.8207739307536,0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,,1260,2.0,2.0,100.0,2,1260.0,10000000.0,7936.507936507936,1
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1555,3.0,2.0,75.17,3,1555.0,7517000.0,4834.083601286174,1
Built-up  Area,Ready To Move,Race Course Road,4 Bedroom,,2500,4.0,1.0,450.0,4,2500.0,45000000.0,18000.0,1
Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,,1225,2.0,2.0,48.0,2,1225.0,4800000.0,3918.3673469387754,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PisomSu,1085,2.0,1.0,46.0,2,1085.0,4600000.0,4239.6313364055295,1
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,220.0,3,1640.0,22000000.0,13414.634146341463,1
Built-up  Area,18-Aug,Thanisandra,3 BHK,Bhmesy ,1595,3.0,1.0,110.0,3,1595.0,11000000.0,6896.551724137931,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,40.44,2,1196.0,4044000.0,3381.2709030100336,1
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1859,3.0,1.0,108.0,3,1859.0,10800000.0,5809.575040344271,0
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1079,2.0,1.0,60.0,2,1079.0,6000000.0,5560.704355885079,0
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,550,1.0,1.0,27.0,2,550.0,2700000.0,4909.090909090909,1
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Satanan,1118,2.0,1.0,42.0,2,1118.0,4200000.0,3756.7084078711987,1
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Roareta,1198,2.0,2.0,60.0,2,1198.0,6000000.0,5008.347245409015,1
Super built-up  Area,18-Jun,Chandapura,3 BHK,SuVue S,1100 - 1225,3.0,2.0,30.215,3,1162.5,3021500.0,2599.1397849462364,0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4.0,2.0,135.0,3,1830.0,13500000.0,7377.049180327869,1
Super built-up  Area,20-Oct,Banashankari Stage VI,2 BHK,Brens7 ,1160,2.0,1.0,59.0,2,1160.0,5900000.0,5086.206896551724,0
